ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EGKK,DEP,109M,26L,1303,1303,14,DEP-109M-26L,2019
EGKK,DEP,10M,08R,973,972,16,DEP-10M-08R,2019
EGKK,DEP,10M,26L,2126,2126,12,DEP-10M-26L,2019
EGKK,DEP,110M,08R,559,559,16.60000000000001,DEP-110M-08R,2019
EGKK,DEP,110M,26L,1198,1198,16,DEP-110M-26L,2019
EGKK,DEP,111M,08R,469,469,15,DEP-111M-08R,2019
EGKK,DEP,111M,26L,991,991,14,DEP-111M-26L,2019
EGKK,DEP,112M,08R,891,891,15,DEP-112M-08R,2019
EGKK,DEP,112M,26L,1938,1938,14,DEP-112M-26L,2019
EGKK,DEP,113M,08R,848,848,15,DEP-113M-08R,2019
EGKK,DEP,113M,26L,1836,1836,13,DEP-113M-26L,2019
EGKK,DEP,11M,08R,994,994,16,DEP-11M-08R,2019
EGKK,DEP,11M,26L,2137,2137,12,DEP-11M-26L,2019
EGKK,DEP,12M,08R,958,958,16,DEP-12M-08R,2019
EGKK,DEP,12M,26L,2077,2077,12,DEP-12M-26L,2019
EGKK,DEP,130M,08R,105,105,17,DEP-130M-08R,2019
EGKK,DEP,130M,26L,258,258,14,DEP-130M-26L,2019
EGKK,DEP,131M,08R,87,87,17,DEP-131M-08R,2019
EGKK,DEP,131M,26L,210,210,15,DEP-131M-26L,2019
EGKK,DEP,132M,08R,35,35,16.8,DEP-132M-08R,2019
EGKK,DEP,132M,26L,91,91,14,DEP-132M-26L,2019
EGKK,DEP,133M,08R,37,37,16,DEP-133M-08R,2019
EGKK,DEP,133M,26L,77,77,14.200000000000003,DEP-133M-26L,2019
EGKK,DEP,134M,08R,33,33,16,DEP-134M-08R,2019
EGKK,DEP,134M,26L,114,114,13,DEP-134M-26L,2019
EGKK,DEP,135M,08R,58,58,16,DEP-135M-08R,2019
EGKK,DEP,135M,26L,166,166,15,DEP-135M-26L,2019
EGKK,DEP,13L,08R,76,76,19,DEP-13L-08R,2019
EGKK,DEP,13L,26L,154,154,15,DEP-13L-26L,2019
EGKK,DEP,13M,08R,495,495,17.80000000000001,DEP-13M-08R,2019
EGKK,DEP,13M,26L,1091,1091,14,DEP-13M-26L,2019
EGKK,DEP,13R,08R,75,75,17,DEP-13R-08R,2019
EGKK,DEP,13R,26L,148,148,16,DEP-13R-26L,2019
EGKK,DEP,140M,08R,35,35,14,DEP-140M-08R,2019
EGKK,DEP,140M,26L,73,73,12,DEP-140M-26L,2019
EGKK,DEP,142R,26L,34,34,14.6,DEP-142R-26L,2019
EGKK,DEP,145M,08R,39,39,15,DEP-145M-08R,2019
EGKK,DEP,145M,26L,73,73,12.4,DEP-145M-26L,2019
EGKK,DEP,14M,08R,944,944,16,DEP-14M-08R,2019
EGKK,DEP,14M,26L,2035,2035,12,DEP-14M-26L,2019
EGKK,DEP,15M,08R,594,594,17,DEP-15M-08R,2019
EGKK,DEP,15M,26L,1253,1252,13,DEP-15M-26L,2019
EGKK,DEP,160L,08R,57,57,16,DEP-160L-08R,2019
EGKK,DEP,160L,26L,118,118,14,DEP-160L-26L,2019
EGKK,DEP,160R,08R,55,55,15,DEP-160R-08R,2019
EGKK,DEP,160R,26L,119,119,13,DEP-160R-26L,2019
EGKK,DEP,161M,08R,77,77,15.200000000000003,DEP-161M-08R,2019
EGKK,DEP,161M,26L,168,168,15,DEP-161M-26L,2019
EGKK,DEP,16M,08R,844,844,15,DEP-16M-08R,2019
EGKK,DEP,16M,26L,1568,1568,12,DEP-16M-26L,2019
EGKK,DEP,170M,08R,102,102,13.200000000000003,DEP-170M-08R,2019
EGKK,DEP,170M,26L,203,203,14,DEP-170M-26L,2019
EGKK,DEP,171L,08R,78,78,14,DEP-171L-08R,2019
EGKK,DEP,171L,26L,152,152,14,DEP-171L-26L,2019
EGKK,DEP,171R,08R,85,85,12.8,DEP-171R-08R,2019
EGKK,DEP,171R,26L,168,168,13,DEP-171R-26L,2019
EGKK,DEP,172L,08R,89,89,12.600000000000001,DEP-172L-08R,2019
EGKK,DEP,172L,26L,167,167,15,DEP-172L-26L,2019
EGKK,DEP,172M,26L,38,38,18.4,DEP-172M-26L,2019
EGKK,DEP,172R,08R,78,78,14,DEP-172R-08R,2019
EGKK,DEP,172R,26L,171,171,14,DEP-172R-26L,2019
EGKK,DEP,173M,08R,84,84,13,DEP-173M-08R,2019
EGKK,DEP,173M,26L,154,154,15,DEP-173M-26L,2019
EGKK,DEP,174M,08R,86,86,15,DEP-174M-08R,2019
